"","ecoregion","eco_type","module"
"89","New England-Acadian forests","terrestrial","2"
"90","Newfoundland Highland forests","terrestrial","2"
"91","North Central Rockies forests","terrestrial","2"
"92","Northeastern coastal forests","terrestrial","2"
"93","Northern Canadian Shield taiga","terrestrial","2"
"94","Northern Cordillera forests","terrestrial","2"
"95","Northern mixed grasslands","terrestrial","2"
"96","Northern Pacific coastal forests","terrestrial","2"
"97","Northern short grasslands","terrestrial","2"
"98","Northern tall grasslands","terrestrial","2"
"99","Northern transitional alpine forests","terrestrial","2"
"100","Okanagan dry forests","terrestrial","2"
"101","Ozark Mountain forests","terrestrial","2"
"102","Pacific Coastal Mountain icefields and tundra","terrestrial","2"
"103","Palouse grasslands","terrestrial","2"
"104","Piney Woods forests","terrestrial","2"
"105","Puget lowland forests","terrestrial","2"
"106","Sierra Madre de Oaxaca pine-oak forests","terrestrial","2"
"107","Sierra Madre del Sur pine-oak forests","terrestrial","2"
"108","Sierra Madre Occidental pine-oak forests","terrestrial","2"
"109","Sierra Madre Oriental pine-oak forests","terrestrial","2"
"110","Snake-Columbia shrub steppe","terrestrial","2"
"111","Sonoran desert","terrestrial","2"
"112","Sonoran-Sinaloan transition subtropical dry forest","terrestrial","2"
"113","South Avalon-Burin oceanic barrens","terrestrial","2"
"114","South Central Rockies forests","terrestrial","2"
"115","South Florida rocklands","terrestrial","2"
"116","Southeastern conifer forests","terrestrial","2"
"117","Southeastern mixed forests","terrestrial","2"
"118","Southern Great Lakes forests","terrestrial","2"
"119","Southern Hudson Bay","terrestrial","2"
"120","Southern Hudson Bay taiga","terrestrial","2"
"121","St.Lawrence","terrestrial","2"
"122","Tamaulipan matorral","terrestrial","2"
"123","Tamaulipan mezquital","terrestrial","2"
"124","Tehuacán Valley matorral","terrestrial","2"
"125","Texas blackland prairies","terrestrial","2"
"126","Torngat Mountain tundra","terrestrial","2"
"127","Trans-Mexican Volcanic Belt pine-oak forests","terrestrial","2"
"128","Upper Midwest forest-savanna transition","terrestrial","2"
"129","Veracruz moist forests","terrestrial","2"
"130","Wasatch and Uinta montane forests","terrestrial","2"
"131","Western Great Lakes forests","terrestrial","2"
"132","Western Gulf coastal grasslands","terrestrial","2"
"133","Western short grasslands","terrestrial","2"
"134","Willamette Valley forests","terrestrial","2"
"135","Wyoming Basin shrub steppe","terrestrial","2"
"136","Yukon Interior dry forests","terrestrial","2"
"137","Coastal Araucanian","coastal","3"
"138","Coastal Central Chile","coastal","3"
"139","Coastal Central Peru","coastal","3"
"140","Coastal Chiapas-Nicaragua","coastal","3"
"141","Coastal Chiloense","coastal","3"
"142","Coastal Cortezian","coastal","3"
"143","Coastal Guayaquil","coastal","3"
"144","Coastal Humboldtian","coastal","3"
"145","Coastal Magdalena Transition","coastal","3"
"146","Coastal Mexican Tropical Pacific","coastal","3"
"147","Coastal Nicoya","coastal","3"
"148","Coastal North American Pacific Fijordland","coastal","3"
"149","Coastal Northern California","coastal","3"
"150","Coastal Panama Bight","coastal","3"
"151","Coastal Southern California Bight","coastal","3"
"152","Coastal Southwestern Caribbean","coastal","3"
"153","Coastal Western Caribbean","coastal","3"
"154","Northern Mesoamerican Pacific mangroves","coastal","3"
"155","South American Pacific mangroves","coastal","3"
"156","Southern Mesoamerican Pacific mangroves","coastal","3"
"157","Apure-Villavicencio dry forests","terrestrial","3"
"158","Araya and Paria xeric scrub","terrestrial","3"
"159","Atlantic dry forests","terrestrial","3"
"160","Bahamian pine mosaic","terrestrial","3"
"161","Bahia interior forests","terrestrial","3"
"162","Baja California desert","terrestrial","3"
"163","Belizian pine forests","terrestrial","3"
"164","California Central Valley grasslands","terrestrial","3"
"165","California coastal sage and chaparral","terrestrial","3"
"166","California interior chaparral and woodlands","terrestrial","3"
"167","California montane chaparral and woodlands","terrestrial","3"
"168","Campos Rupestres montane savanna","terrestrial","3"
"169","Catatumbo moist forests","terrestrial","3"
"170","Cauca Valley dry forests","terrestrial","3"
"171","Cauca Valley montane forests","terrestrial","3"
"172","Central American Atlantic moist forests","terrestrial","3"
"173","Central American dry forests","terrestrial","3"
"174","Central American montane forests","terrestrial","3"
"175","Central American pine-oak forests","terrestrial","3"
"176","Chiapas Depression dry forests","terrestrial","3"
"177","Chiapas montane forests","terrestrial","3"
"178","Chimalapas montane forests","terrestrial","3"
"179","Chocó-Darién moist forests","terrestrial","3"
"180","Cordillera La Costa montane forests","terrestrial","3"
"181","Cordillera Oriental montane forests","terrestrial","3"
"182","Costa Rican seasonal moist forests","terrestrial","3"
"183","Cuban cactus scrub","terrestrial","3"
"184","Cuban dry forests","terrestrial","3"
"185","Cuban moist forests","terrestrial","3"
"186","Cuban pine forests","terrestrial","3"
"187","Cuban wetlands","terrestrial","3"
"188","Eastern Panamanian montane forests","terrestrial","3"
"189","Enriquillo wetlands","terrestrial","3"
"190","Guajira-Barranquilla xeric scrub","terrestrial","3"
"191","Guayaquil flooded grasslands","terrestrial","3"
"192","Guianan freshwater swamp forests","terrestrial","3"
"193","Guianan Highlands moist forests","terrestrial","3"
"194","Guianan moist forests","terrestrial","3"
"195","Guianan piedmont and lowland moist forests","terrestrial","3"
"196","Guianan savanna","terrestrial","3"
"197","Gulf of California xeric scrub","terrestrial","3"
"198","Gurupa varzeá","terrestrial","3"
"199","Hispaniolan dry forests","terrestrial","3"
"200","Hispaniolan moist forests","terrestrial","3"
"201","Hispaniolan pine forests","terrestrial","3"
"202","Iquitos varzeá","terrestrial","3"
"203","Isthmian-Atlantic moist forests","terrestrial","3"
"204","Isthmian-Pacific moist forests","terrestrial","3"
"205","Jalisco dry forests","terrestrial","3"
"206","Jamaican dry forests","terrestrial","3"
"207","Jamaican moist forests","terrestrial","3"
"208","Klamath-Siskiyou forests","terrestrial","3"
"209","La Costa xeric shrublands","terrestrial","3"
"210","Lara-Falcón dry forests","terrestrial","3"
"211","Leeward Islands moist forests","terrestrial","3"
"212","Lesser Antillean dry forests","terrestrial","3"
"213","Llanos","terrestrial","3"
"214","Magdalena Valley dry forests","terrestrial","3"
"215","Magdalena Valley montane forests","terrestrial","3"
"216","Magdalena-Urabá moist forests","terrestrial","3"
"217","Maracaibo dry forests","terrestrial","3"
"218","Marajó varzeá","terrestrial","3"
"219","Maranhão Babaçu forests","terrestrial","3"
"220","Miskito pine forests","terrestrial","3"
"221","Motagua Valley thornscrub","terrestrial","3"
"222","Napo moist forests","terrestrial","3"
"223","Northeastern Brazil restingas","terrestrial","3"
"224","Northern California coastal forests","terrestrial","3"
"225","Oaxacan montane forests","terrestrial","3"
"226","Orinoco Delta swamp forests","terrestrial","3"
"227","Orinoco wetlands","terrestrial","3"
"228","Panamanian dry forests","terrestrial","3"
"229","Pantanos de Centla","terrestrial","3"
"230","Paraguana xeric scrub","terrestrial","3"
"231","Petén-Veracruz moist forests","terrestrial","3"
"232","Puerto Rican dry forests","terrestrial","3"
"233","Puerto Rican moist forests","terrestrial","3"
"234","Purus varzeá","terrestrial","3"
"235","Rio Negro campinarana","terrestrial","3"
"236","San Lucan xeric scrub","terrestrial","3"
"237","Santa Marta montane forests","terrestrial","3"
"238","Sierra de la Laguna dry forests","terrestrial","3"
"239","Sierra de la Laguna pine-oak forests","terrestrial","3"
"240","Sierra de los Tuxtlas","terrestrial","3"
"241","Sierra Madre de Chiapas moist forests","terrestrial","3"
"242","Sierra Nevada forests","terrestrial","3"
"243","Sinaloan dry forests","terrestrial","3"
"244","Sinú Valley dry forests","terrestrial","3"
"245","Solimões-Japurá moist forests","terrestrial","3"
"246","Southern Pacific dry forests","terrestrial","3"
"247","Talamancan montane forests","terrestrial","3"
"248","Tapajós-Xingu moist forests","terrestrial","3"
"249","Tocantins/Pindare moist forests","terrestrial","3"
"250","Trinidad and Tobago moist forests","terrestrial","3"
"251","Tumbes-Piura dry forests","terrestrial","3"
"252","Uatuma-Trombetas moist forests","terrestrial","3"
"253","Veracruz dry forests","terrestrial","3"
"254","Veracruz montane forests","terrestrial","3"
"255","Xingu-Tocantins-Araguaia moist forests","terrestrial","3"
"256","Yucatán dry forests","terrestrial","3"
"257","Yucatán moist forests","terrestrial","3"
"258","Amazon-Orinoco-Southern Caribbean mangroves","coastal","4"
"259","Bahamian-Antillean mangroves","coastal","4"
"260","Central African mangroves","coastal","4"
"261","Coastal Agulhas Bank","coastal","4"
"262","Coastal Alboran Sea","coastal","4"
"263","Coastal Amazonia","coastal","4"
"264","Coastal Angolan","coastal","4"
"265","Coastal Azores Canaries Madeira","coastal","4"
"266","Coastal Bahamian","coastal","4"
"267","Coastal Cape Verde","coastal","4"
"268","Coastal Celtic Seas","coastal","4"
"269","Coastal Channels and Fjords of Southern Chile","coastal","4"
"270","Coastal Eastern Brazil","coastal","4"
"271","Coastal Eastern Caribbean","coastal","4"
"272","Coastal Faroe Plateau","coastal","4"
"273","Coastal Floridian","coastal","4"
"274","Coastal Greater Antilles","coastal","4"
"275","Coastal Guianan","coastal","4"
"276","Coastal Gulf of Guinea Central","coastal","4"
"277","Coastal Gulf of Guinea Islands","coastal","4"
"278","Coastal Gulf of Guinea South","coastal","4"
"279","Coastal Gulf of Guinea Upwelling","coastal","4"
"280","Coastal Gulf of Guinea West","coastal","4"
"281","Coastal Namaqua","coastal","4"
"282","Coastal Namib","coastal","4"
"283","Coastal North and East Iceland","coastal","4"
"284","Coastal North Patagonian Gulfs","coastal","4"
"285","Coastal North Sea","coastal","4"
"286","Coastal Northeastern Brazil","coastal","4"
"287","Coastal Northern Gulf of Mexico","coastal","4"
"288","Coastal Patagonian Shelf","coastal","4"
"289","Coastal Rio de la Plata","coastal","4"
"290","Coastal Saharan Upwelling","coastal","4"
"291","Coastal Sahelian Upwelling","coastal","4"
"292","Coastal South and West Iceland","coastal","4"
"293","Coastal South European Atlantic Shelf","coastal","4"
"294","Coastal Southeastern Brazil","coastal","4"
"295","Coastal Southern Caribbean","coastal","4"
"296","Coastal Southern Norway","coastal","4"
"297","Coastal Uruguay-Buenos Aires Shelf","coastal","4"
"298","Guinean mangroves","coastal","4"
"299","Southern Atlantic mangroves","coastal","4"
"300","Channels and Fjords of Southern Chile","marine","4"
"301","Malvinas/Falklands","marine","4"
"302","North Patagonian Gulfs","marine","4"
"303","Northeastern Brazil","marine","4"
"304","Patagonian Shelf","marine","4"
"305","Rio de la Plata","marine","4"
"306","Southern Caribbean","marine","4"
"307","Coastal Malvinas/Falklands","coastal","5"
"308","Coastal Rio Grande","coastal","5"
"309","Alto Paraná Atlantic forests","terrestrial","5"
"310","Araucaria moist forests","terrestrial","5"
"311","Atacama desert","terrestrial","5"
"312","Atlantic Coast restingas","terrestrial","5"
"313","Beni savanna","terrestrial","5"
"314","Bolivian montane dry forests","terrestrial","5"
"315","Bolivian Yungas","terrestrial","5"
"316","Caribbean shrublands","terrestrial","5"
"317","Central Andean dry puna","terrestrial","5"
"318","Central Andean puna","terrestrial","5"
"319","Central Andean wet puna","terrestrial","5"
"320","Cerrado","terrestrial","5"
"321","Chilean matorral","terrestrial","5"
"322","Chiquitano dry forests","terrestrial","5"
"323","Dry Chaco","terrestrial","5"
"324","Eastern Cordillera real montane forests","terrestrial","5"
"325","Ecuadorian dry forests","terrestrial","5"
"326","Espinal","terrestrial","5"
"327","High Monte","terrestrial","5"
"328","Humid Chaco","terrestrial","5"
"329","Humid Pampas","terrestrial","5"
"330","Low Monte","terrestrial","5"
"331","Madeira-Tapajós moist forests","terrestrial","5"
"332","Magellanic subpolar forests","terrestrial","5"
"333","Northern Andean páramo","terrestrial","5"
"334","Northwestern Andean montane forests","terrestrial","5"
"335","Pantanal","terrestrial","5"
"336","Paraná flooded savanna","terrestrial","5"
"337","Patagonian steppe","terrestrial","5"
"338","Peruvian Yungas","terrestrial","5"
"339","Sechura desert","terrestrial","5"
"340","Serra do Mar coastal forests","terrestrial","5"
"341","Southern Andean steppe","terrestrial","5"
"342","Southern Andean Yungas","terrestrial","5"
"343","Southern Cone Mesopotamian savanna","terrestrial","5"
"344","Southwest Amazon moist forests","terrestrial","5"
"345","Titicaca","terrestrial","5"
"346","Uruguayan savanna","terrestrial","5"
"347","Valdivian temperate forests","terrestrial","5"
"348","Western Ecuador moist forests","terrestrial","5"
"349","Agulhas Bank","marine","6"
"350","Amazonia","marine","6"
"351","Angolan","marine","6"
"352","Azores Canaries Madeira","marine","6"
"353","Cape Verde","marine","6"
"354","Guianan","marine","6"
"355","Gulf of Guinea Central","marine","6"
"356","Gulf of Guinea Islands","marine","6"
"357","Gulf of Guinea South","marine","6"
"358","Gulf of Guinea Upwelling","marine","6"
"359","Gulf of Guinea West","marine","6"
"360","Namaqua","marine","6"
"361","Namib","marine","6"
"362","Natal","marine","6"
"363","Rio Grande","marine","6"
"364","Saharan Upwelling","marine","6"
"365","Sahelian Upwelling","marine","6"
"366","Sao Pedro and Sao Paulo Islands","marine","6"
"367","Southeastern Brazil","marine","6"
"368","Uruguay-Buenos Aires Shelf","marine","6"
"369","Atlantic coastal desert","terrestrial","7"
"370","Guinean forest-savanna mosaic","terrestrial","7"
"371","Mediterranean acacia-argania dry woodlands and succulent thickets","terrestrial","7"
"372","Mediterranean conifer and mixed forests","terrestrial","7"
"373","Mediterranean dry woodlands and steppe","terrestrial","7"
"374","Mediterranean High Atlas juniper steppe","terrestrial","7"
"375","Mediterranean woodlands and forests","terrestrial","7"
"376","North Saharan steppe and woodlands","terrestrial","7"
"377","Saharan halophytics","terrestrial","7"
"378","Sahelian Acacia savanna","terrestrial","7"
"379","West Sudanian savanna","terrestrial","7"
"380","Coastal East Greenland Shelf","coastal","8"
"381","Coastal Northern Labrador","coastal","8"
"382","Coastal West Greenland Shelf","coastal","8"
"383","East Greenland Shelf","marine","8"
"384","Northern Labrador","marine","8"
"385","West Greenland Shelf","marine","8"
"386","Cortezian","marine","9"
"387","Gulf of Alaska","marine","9"
"388","Magdalena Transition","marine","9"
"389","North American Pacific Fijordland","marine","9"
"390","Northern California","marine","9"
"391","Oregon, Washington, Vancouver Coast and Shelf","marine","9"
"392","Puget Trough/Georgia Basin","marine","9"
"393","Southern California Bight","marine","9"
