species,ecoregion,data,filter
Snow Bunting,69,ebird_birdlife,flyway and habitat
Snow Goose,14,ebird_birdlife,flyway and habitat
Snowy Owl,44,ebird_birdlife,flyway and habitat
Tundra Swan,10,ebird_birdlife,flyway and habitat
White-rumped Sandpiper,20,ebird_birdlife,flyway and habitat
American Golden-Plover,12,ebird_birdlife,tracking
Snow Goose,6,ebird_birdlife,tracking
Snowy Owl,11,ebird_birdlife,tracking
American Golden-Plover,15,tracking,raw
Common-ringed Plover,15,tracking,raw
Long-tailed Jaeger,38,tracking,raw
Snowy Owl,36,tracking,raw
American Golden-Plover,15,tracking,habitat
Common-ringed Plover,15,tracking,habitat
Long-tailed Jaeger,20,tracking,habitat
Snowy Owl,36,tracking,habitat
American Golden-Plover,15,tracking,flyway
Common-ringed Plover,15,tracking,flyway
Long-tailed Jaeger,37,tracking,flyway
Snowy Owl,36,tracking,flyway
American Golden-Plover,15,tracking,flyway and habitat
Common-ringed Plover,15,tracking,flyway and habitat
Long-tailed Jaeger,19,tracking,flyway and habitat
Snowy Owl,36,tracking,flyway and habitat
