"","species","data","filter","ecoregion","prop_eco"
"240","Tundra Swan","ebird_birdlife","habitat",30,3.2258064516129
"241","Tundra Swan","ebird_birdlife","flyway",11,64.5161290322581
"242","Tundra Swan","ebird_birdlife","flyway and habitat",10,67.741935483871
"243","White-rumped Sandpiper","birdlife","flyway",27,0
"244","White-rumped Sandpiper","birdlife","habitat",21,22.2222222222222
"245","White-rumped Sandpiper","birdlife","flyway and habitat",21,22.2222222222222
"246","White-rumped Sandpiper","ebird","flyway",37,0
"247","White-rumped Sandpiper","ebird","habitat",28,24.3243243243243
"248","White-rumped Sandpiper","ebird","flyway and habitat",28,24.3243243243243
"249","White-rumped Sandpiper","ebird_birdlife","flyway",24,0
"250","White-rumped Sandpiper","ebird_birdlife","habitat",20,16.6666666666667
"251","White-rumped Sandpiper","ebird_birdlife","flyway and habitat",20,16.6666666666667
